Device,Bus Voltage (V),Shunt Voltage (V),Current (A),Power (W),Timestamp
Thermostat,5.168,0.096,0.963,4.9778,2024-11-23 22:18:26
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:27
Thermostat,5.176,0.056,0.560,2.8986,2024-11-23 22:18:28
Thermostat,5.176,0.080,0.800,4.1408,2024-11-23 22:18:29
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:30
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:31
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:32
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:33
Thermostat,5.152,0.096,0.960,4.9459,2024-11-23 22:18:34
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:35
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:18:36
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:37
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:38
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:18:39
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:40
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:41
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:18:42
Thermostat,5.144,0.157,1.568,8.0658,2024-11-23 22:18:43
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:18:44
Thermostat,5.152,0.140,1.402,7.2210,2024-11-23 22:18:45
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:46
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:18:47
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:18:48
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:49
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:18:50
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:18:51
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:18:52
Thermostat,5.152,0.156,1.565,8.0618,2024-11-23 22:18:53
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:18:54
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:55
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:56
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:57
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:58
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:18:59
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:19:00
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:19:01
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:19:02
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:19:03
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:19:04
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:19:05
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:19:06
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:19:07
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:19:08
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:19:09
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:19:10
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:19:11
Thermostat,5.168,0.096,0.960,4.9613,2024-11-23 22:19:12
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:19:13
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:19:14
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:19:15
Thermostat,5.168,0.096,0.957,4.9447,2024-11-23 22:19:16
